web-scraper-order,web-scraper-start-url,kohteet,kohteet-href,tiedot
"1619175014-100","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12037414","2007 (ensirek. 11-2006)"
"1619175028-162","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12080603","1.7 l, Bensiini"
"1619174999-39","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12010953","1.6 l, Bensiini"
"1619175028-170","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12080603","Kulutus: 
Kaupunki: 11.3 l/100km
Maantie: 6.1 l/100km
Yhdistetty: 8.0 l/100km"
"1619175014-105","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12037414","Helsinki, Uusimaa"
"1619175002-54","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/11924360","1.6 l, Bensiini"
"1619175030-180","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12029418","Kulutus: 
Kaupunki: 11.3 l/100km
Maantie: 6.1 l/100km
Yhdistetty: 8.0 l/100km"
"1619174999-48","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12010953","Kokonaismassa: 2 220 kg"
"1619175012-89","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/10735916","BOI-353"
"1619175030-173","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12029418","3-2020"
"1619175022-138","https://www.nettiauto.com/citroen/grand-c4-picasso/bensiini?id_country[]=73","Citroen Grand C4 Picasso","https://www.nettiauto.com/citroen/grand-c4-picasso/12038084","3-2021"
